flight_date,flight_status,airline,flight,aircraft,live,departure_airport,departure_time,arrival_airport,arrival_time
2024-11-17T03:25:00+00:00,scheduled,Kenya Airways,KQ3063,None,None,"Athens International Airport ""Eleftherios Venizelos""",2024-11-17T03:25:00+00:00,Charles De Gaulle,2024-11-17T06:00:00+00:00
2024-11-17T00:15:00+00:00,active,Cathay Pacific,CX261,A359,"{'updated': '2024-11-16T19:46:28+00:00', 'latitude': 37.5315, 'longitude': 101.817, 'altitude': 11003.3, 'direction': 284, 'speed_horizontal': 722.28, 'speed_vertical': 0, 'is_ground': False}",Hong Kong International,2024-11-17T00:15:00+00:00,Charles De Gaulle,2024-11-17T07:35:00+00:00
2024-11-17T00:15:00+00:00,active,Singapore Airlines,SQ336,B77W,"{'updated': '2024-11-16T19:45:17+00:00', 'latitude': 21.2523, 'longitude': 88.6698, 'altitude': 9144, 'direction': 303, 'speed_horizontal': 909.332, 'speed_vertical': 0, 'is_ground': False}",Singapore Changi,2024-11-17T00:15:00+00:00,Charles De Gaulle,2024-11-17T07:15:00+00:00
2024-11-17T00:35:00+00:00,active,China Southern Airlines,CZ347,A359,"{'updated': '2024-11-16T19:46:30+00:00', 'latitude': 43.3452, 'longitude': 110.694, 'altitude': 11003.3, 'direction': 314, 'speed_horizontal': 781.544, 'speed_vertical': 0, 'is_ground': False}",Guangzhou Baiyun International,2024-11-17T00:35:00+00:00,Charles De Gaulle,2024-11-17T06:40:00+00:00
2024-11-17T01:15:00+00:00,scheduled,Air France,AF935,None,None,Ivato International Airport,2024-11-17T01:15:00+00:00,Charles De Gaulle,2024-11-17T10:55:00+00:00
2024-11-17T01:15:00+00:00,scheduled,KLM,KL2251,None,None,Ivato International Airport,2024-11-17T01:15:00+00:00,Charles De Gaulle,2024-11-17T10:55:00+00:00
2024-11-17T01:15:00+00:00,scheduled,Delta Air Lines,DL8498,None,None,Ivato International Airport,2024-11-17T01:15:00+00:00,Charles De Gaulle,2024-11-17T10:55:00+00:00
2024-11-16T06:30:00+00:00,landed,United Airlines,UA9943,None,None,Brussels Airport,2024-11-16T06:30:00+00:00,Charles De Gaulle,2024-11-16T07:30:00+00:00
2024-11-16T08:25:00+00:00,landed,United Airlines,UA7265,None,None,Pleso,2024-11-16T08:25:00+00:00,Charles De Gaulle,2024-11-16T10:30:00+00:00
2024-11-16T08:25:00+00:00,landed,Croatia Airlines,OU470,A320,None,Pleso,2024-11-16T08:25:00+00:00,Charles De Gaulle,2024-11-16T10:30:00+00:00
2024-11-16T08:25:00+00:00,landed,Asiana Airlines,OZ9382,None,None,Pleso,2024-11-16T08:25:00+00:00,Charles De Gaulle,2024-11-16T10:30:00+00:00
2024-11-16T08:25:00+00:00,landed,Air India,AI7514,None,None,Pleso,2024-11-16T08:25:00+00:00,Charles De Gaulle,2024-11-16T10:30:00+00:00
2024-11-16T08:25:00+00:00,landed,Air France,AF5075,None,None,Pleso,2024-11-16T08:25:00+00:00,Charles De Gaulle,2024-11-16T10:30:00+00:00
2024-11-16T08:25:00+00:00,landed,Air Canada,AC2971,None,None,Pleso,2024-11-16T08:25:00+00:00,Charles De Gaulle,2024-11-16T10:30:00+00:00
2024-11-16T07:30:00+00:00,landed,JetBlue Airways,B65642,None,None,Keflavik International,2024-11-16T07:30:00+00:00,Charles De Gaulle,2024-11-16T12:00:00+00:00
2024-11-16T07:30:00+00:00,landed,Icelandair,FI542,B753,None,Keflavik International,2024-11-16T07:30:00+00:00,Charles De Gaulle,2024-11-16T12:00:00+00:00
2024-11-16T09:05:00+00:00,landed,Delta Air Lines,DL8523,None,None,Geneve-cointrin,2024-11-16T09:05:00+00:00,Charles De Gaulle,2024-11-16T10:20:00+00:00
2024-11-16T09:05:00+00:00,landed,Gol,G35280,None,None,Geneve-cointrin,2024-11-16T09:05:00+00:00,Charles De Gaulle,2024-11-16T10:20:00+00:00
2024-11-16T09:05:00+00:00,landed,SWISS,LX4602,None,None,Geneve-cointrin,2024-11-16T09:05:00+00:00,Charles De Gaulle,2024-11-16T10:20:00+00:00
2024-11-16T09:05:00+00:00,landed,Air Mauritius,MK9553,None,None,Geneve-cointrin,2024-11-16T09:05:00+00:00,Charles De Gaulle,2024-11-16T10:20:00+00:00
2024-11-16T09:05:00+00:00,landed,China Eastern Airlines,MU1878,None,None,Geneve-cointrin,2024-11-16T09:05:00+00:00,Charles De Gaulle,2024-11-16T10:20:00+00:00
2024-11-16T09:05:00+00:00,landed,Air Europa,UX2211,None,None,Geneve-cointrin,2024-11-16T09:05:00+00:00,Charles De Gaulle,2024-11-16T10:20:00+00:00
2024-11-16T09:05:00+00:00,landed,Vietnam Airlines,VN3143,None,None,Geneve-cointrin,2024-11-16T09:05:00+00:00,Charles De Gaulle,2024-11-16T10:20:00+00:00
2024-11-16T09:05:00+00:00,landed,WestJet,WS5175,None,None,Geneve-cointrin,2024-11-16T09:05:00+00:00,Charles De Gaulle,2024-11-16T10:20:00+00:00
2024-11-16T09:05:00+00:00,landed,Air France,AF1543,BCS3,None,Geneve-cointrin,2024-11-16T09:05:00+00:00,Charles De Gaulle,2024-11-16T10:20:00+00:00
2024-11-16T09:05:00+00:00,landed,Royal Air Maroc,AT638,B738,None,Menara,2024-11-16T09:05:00+00:00,Charles De Gaulle,2024-11-16T12:25:00+00:00
2024-11-16T07:40:00+00:00,landed,easyJet,U23475,A20N,None,Liverpool John Lennon,2024-11-16T07:40:00+00:00,Charles De Gaulle,2024-11-16T10:05:00+00:00
2024-11-16T08:35:00+00:00,landed,Etihad Airways,EY2832,None,None,Leonardo Da Vinci (Fiumicino),2024-11-16T08:35:00+00:00,Charles De Gaulle,2024-11-16T10:50:00+00:00
2024-11-16T08:35:00+00:00,landed,Hainan Airlines,HU8247,None,None,Leonardo Da Vinci (Fiumicino),2024-11-16T08:35:00+00:00,Charles De Gaulle,2024-11-16T10:50:00+00:00
