flight_date,flight_status,airline,flight,aircraft,live,departure_airport,departure_time,arrival_airport,arrival_time
2024-11-06T00:15:00+00:00,scheduled,China Eastern Airlines,MU553,None,None,Shanghai Pudong International,2024-11-06T00:15:00+00:00,Charles De Gaulle,2024-11-06T06:00:00+00:00
2024-11-06T00:35:00+00:00,scheduled,China Southern Airlines,CZ347,None,None,Guangzhou Baiyun International,2024-11-06T00:35:00+00:00,Charles De Gaulle,2024-11-06T06:40:00+00:00
2024-11-06T00:15:00+00:00,scheduled,Cathay Pacific,CX261,None,None,Hong Kong International,2024-11-06T00:15:00+00:00,Charles De Gaulle,2024-11-06T07:35:00+00:00
2024-11-05T10:10:00+00:00,active,SunExpress,XQ916,B738,"{'updated': '2024-11-05T10:14:56+00:00', 'latitude': 49.3412, 'longitude': 7.1981, 'altitude': 10972.8, 'direction': 295.36, 'speed_horizontal': 825.948, 'speed_vertical': 0, 'is_ground': False}",Adnan Menderes Airport,2024-11-05T10:10:00+00:00,Charles De Gaulle,2024-11-05T12:05:00+00:00
2024-11-05T12:45:00+00:00,active,Vistara,UK23,B789,"{'updated': '2024-11-05T10:12:49+00:00', 'latitude': 34.9048, 'longitude': 64.273, 'altitude': 10965.2, 'direction': 307, 'speed_horizontal': 801.916, 'speed_vertical': 0, 'is_ground': False}",Chhatrapati Shivaji International (Sahar International),2024-11-05T12:45:00+00:00,Charles De Gaulle,2024-11-05T17:55:00+00:00
2024-11-05T13:05:00+00:00,active,Air India,AI143,B788,"{'updated': '2024-11-05T10:12:50+00:00', 'latitude': 36.4696, 'longitude': 61.7272, 'altitude': 12184.4, 'direction': 306, 'speed_horizontal': 729.688, 'speed_vertical': 0, 'is_ground': False}",Indira Gandhi International,2024-11-05T13:05:00+00:00,Charles De Gaulle,2024-11-05T17:55:00+00:00
2024-11-05T09:00:00+00:00,active,Nouvelair Tunisie,BJ508,A320,"{'updated': '2024-11-05T10:14:56+00:00', 'latitude': 48.1547, 'longitude': 4.0034, 'altitude': 7200.9, 'direction': 334.93, 'speed_horizontal': 795.384, 'speed_vertical': -42.12, 'is_ground': False}",Djerba-Zarzis,2024-11-05T09:00:00+00:00,Charles De Gaulle,2024-11-05T12:05:00+00:00
2024-11-05T08:25:00+00:00,landed,Air France,AF4581,None,None,Kastrup,2024-11-05T08:25:00+00:00,Charles De Gaulle,2024-11-05T10:20:00+00:00
2024-11-05T08:25:00+00:00,landed,SAS,SK565,A20N,None,Kastrup,2024-11-05T08:25:00+00:00,Charles De Gaulle,2024-11-05T10:20:00+00:00
2024-11-05T10:30:00+00:00,active,Turkish Airlines,TK1823,A332,"{'updated': '2024-11-05T10:14:56+00:00', 'latitude': 49.735, 'longitude': 6.6548, 'altitude': 10972.8, 'direction': 262.05, 'speed_horizontal': 856.44, 'speed_vertical': 0, 'is_ground': False}",Istanbul Airport,2024-11-05T10:30:00+00:00,Charles De Gaulle,2024-11-05T12:20:00+00:00
2024-11-05T08:25:00+00:00,landed,Aegean Airlines,A33318,None,None,Kastrup,2024-11-05T08:25:00+00:00,Charles De Gaulle,2024-11-05T10:20:00+00:00
