flight_date,flight_status,airline,flight,aircraft,live,departure_airport,departure_time,arrival_airport,arrival_time
2024-11-08T09:40:00+00:00,active,Air France,AF1309,E190,"{'updated': '2024-11-08T09:59:56+00:00', 'latitude': 49.4262, 'longitude': 8.805, 'altitude': 11582.4, 'direction': 280.42, 'speed_horizontal': 819.144, 'speed_vertical': 1.188, 'is_ground': False}",Vienna International,2024-11-08T09:40:00+00:00,Charles De Gaulle,2024-11-08T11:50:00+00:00
2024-11-08T09:50:00+00:00,active,Aeromexico,AM5882,,,Cote D'azur International Airport,2024-11-08T09:50:00+00:00,Charles De Gaulle,2024-11-08T11:30:00+00:00
2024-11-08T09:50:00+00:00,active,Delta Air Lines,DL8396,,,Cote D'azur International Airport,2024-11-08T09:50:00+00:00,Charles De Gaulle,2024-11-08T11:30:00+00:00
2024-11-08T09:50:00+00:00,active,Etihad Airways,EY6041,,,Cote D'azur International Airport,2024-11-08T09:50:00+00:00,Charles De Gaulle,2024-11-08T11:30:00+00:00
2024-11-08T09:50:00+00:00,active,Air Mauritius,MK9081,,,Cote D'azur International Airport,2024-11-08T09:50:00+00:00,Charles De Gaulle,2024-11-08T11:30:00+00:00
2024-11-08T09:50:00+00:00,active,China Eastern Airlines,MU1514,,,Cote D'azur International Airport,2024-11-08T09:50:00+00:00,Charles De Gaulle,2024-11-08T11:30:00+00:00
2024-11-08T09:50:00+00:00,active,Saudia,SV6046,,,Cote D'azur International Airport,2024-11-08T09:50:00+00:00,Charles De Gaulle,2024-11-08T11:30:00+00:00
2024-11-08T09:50:00+00:00,active,WestJet,WS5017,,,Cote D'azur International Airport,2024-11-08T09:50:00+00:00,Charles De Gaulle,2024-11-08T11:30:00+00:00
2024-11-08T09:50:00+00:00,active,Air France,AF7301,A320,"{'updated': '2024-11-08T09:59:55+00:00', 'latitude': 48.9717, 'longitude': 2.1831, 'altitude': 1424.94, 'direction': 83.55, 'speed_horizontal': 411.912, 'speed_vertical': -3.528, 'is_ground': False}",Cote D'azur International Airport,2024-11-08T09:50:00+00:00,Charles De Gaulle,2024-11-08T11:30:00+00:00
2024-11-08T09:55:00+00:00,active,Delta Air Lines,DL8569,,,Berlin Brandenburg Airport,2024-11-08T09:55:00+00:00,Charles De Gaulle,2024-11-08T11:50:00+00:00
2024-11-08T09:30:00+00:00,active,Lufthansa,LH2228,A21N,"{'updated': '2024-11-08T09:59:55+00:00', 'latitude': 49.1735, 'longitude': 2.2184, 'altitude': 2247.9, 'direction': 267.92, 'speed_horizontal': 511.488, 'speed_vertical': -36.288, 'is_ground': False}",Franz Josef Strauss,2024-11-08T09:30:00+00:00,Charles De Gaulle,2024-11-08T11:10:00+00:00
2024-11-08T03:25:00+00:00,landed,DHL Air,D01264,B752,,Halle,2024-11-08T03:25:00+00:00,Charles De Gaulle,2024-11-08T05:20:00+00:00
2024-11-08T13:45:00+00:00,active,Vistara,UK21,B789,"{'updated': '2024-11-08T09:51:42+00:00', 'latitude': 28.5485, 'longitude': 73.2405, 'altitude': 10972.8, 'direction': 265, 'speed_horizontal': 863.032, 'speed_vertical': 0, 'is_ground': False}",Indira Gandhi International,2024-11-08T13:45:00+00:00,Charles De Gaulle,2024-11-08T18:40:00+00:00
2024-11-08T08:15:00+00:00,landed,British Airways,BA306,A21N,,Heathrow,2024-11-08T08:15:00+00:00,Charles De Gaulle,2024-11-08T10:35:00+00:00
2024-11-08T09:00:00+00:00,active,Air France,AF1681,BCS3,"{'updated': '2024-11-08T09:59:56+00:00', 'latitude': 49.7564, 'longitude': 1.1285, 'altitude': 5852.16, 'direction': 147.55, 'speed_horizontal': 686.916, 'speed_vertical': -29.268, 'is_ground': False}",Heathrow,2024-11-08T09:00:00+00:00,Charles De Gaulle,2024-11-08T11:25:00+00:00
2024-11-08T09:30:00+00:00,active,easyJet,U24648,A320,"{'updated': '2024-11-08T09:59:55+00:00', 'latitude': 49.6879, 'longitude': 5.1561, 'altitude': 8968.74, 'direction': 257.18, 'speed_horizontal': 784.44, 'speed_vertical': -36.288, 'is_ground': False}",Kastrup,2024-11-08T09:30:00+00:00,Charles De Gaulle,2024-11-08T11:35:00+00:00
2024-11-08T09:10:00+00:00,active,Norwegian,DY3638,,,Kastrup,2024-11-08T09:10:00+00:00,Charles De Gaulle,2024-11-08T11:10:00+00:00
2024-11-08T10:00:00+00:00,active,Air France,AF1067,A318,"{'updated': '2024-11-08T09:59:56+00:00', 'latitude': 45.2528, 'longitude': 8.2237, 'altitude': 11574.8, 'direction': 311.68, 'speed_horizontal': 835.596, 'speed_vertical': 0, 'is_ground': False}",Peretola,2024-11-08T10:00:00+00:00,Charles De Gaulle,2024-11-08T11:50:00+00:00
2024-11-08T10:00:00+00:00,active,WestJet,WS5173,,,Peretola,2024-11-08T10:00:00+00:00,Charles De Gaulle,2024-11-08T11:50:00+00:00
2024-11-08T10:00:00+00:00,active,KLM,KL2127,,,Peretola,2024-11-08T10:00:00+00:00,Charles De Gaulle,2024-11-08T11:50:00+00:00
