flight_date,flight_status,airline,flight,aircraft,live,departure_airport,departure_time,arrival_airport,arrival_time
2024-11-21T00:05:00+00:00,scheduled,Xiamen Airlines,MF825,None,None,Xiamen,2024-11-21T00:05:00+00:00,Charles De Gaulle,2024-11-21T06:00:00+00:00
2024-11-21T00:50:00+00:00,scheduled,China Eastern Airlines,MU553,None,None,Shanghai Pudong International,2024-11-21T00:50:00+00:00,Charles De Gaulle,2024-11-21T06:00:00+00:00
2024-11-21T01:25:00+00:00,scheduled,Air France,AF381,None,None,Beijing Capital International,2024-11-21T01:25:00+00:00,Charles De Gaulle,2024-11-21T07:25:00+00:00
2024-11-21T00:05:00+00:00,scheduled,Thai Airways International,TG930,None,None,Suvarnabhumi International,2024-11-21T00:05:00+00:00,Charles De Gaulle,2024-11-21T06:50:00+00:00
2024-11-21T00:35:00+00:00,scheduled,China Southern Airlines,CZ347,None,None,Guangzhou Baiyun International,2024-11-21T00:35:00+00:00,Charles De Gaulle,2024-11-21T06:40:00+00:00
2024-11-21T00:15:00+00:00,scheduled,Cathay Pacific,CX261,None,None,Hong Kong International,2024-11-21T00:15:00+00:00,Charles De Gaulle,2024-11-21T07:35:00+00:00
2024-11-21T01:20:00+00:00,scheduled,Air China LTD,CA1035,None,None,Shanghai Pudong International,2024-11-21T01:20:00+00:00,Charles De Gaulle,2024-11-21T07:05:00+00:00
2024-11-21T00:15:00+00:00,scheduled,Singapore Airlines,SQ336,None,None,Singapore Changi,2024-11-21T00:15:00+00:00,Charles De Gaulle,2024-11-21T07:15:00+00:00
2024-11-20T09:05:00+00:00,landed,Air Europa,UX2211,None,None,Geneve-cointrin,2024-11-20T09:05:00+00:00,Charles De Gaulle,2024-11-20T10:20:00+00:00
2024-11-20T09:05:00+00:00,landed,Vietnam Airlines,VN3143,None,None,Geneve-cointrin,2024-11-20T09:05:00+00:00,Charles De Gaulle,2024-11-20T10:20:00+00:00
2024-11-20T09:05:00+00:00,landed,WestJet,WS5175,None,None,Geneve-cointrin,2024-11-20T09:05:00+00:00,Charles De Gaulle,2024-11-20T10:20:00+00:00
2024-11-20T09:05:00+00:00,landed,Air France,AF1543,BCS3,None,Geneve-cointrin,2024-11-20T09:05:00+00:00,Charles De Gaulle,2024-11-20T10:20:00+00:00
2024-11-20T09:00:00+00:00,landed,Air France,AF4918,None,None,Gardermoen,2024-11-20T09:00:00+00:00,Charles De Gaulle,2024-11-20T11:25:00+00:00
2024-11-20T09:00:00+00:00,landed,El Al,LY9794,None,None,Gardermoen,2024-11-20T09:00:00+00:00,Charles De Gaulle,2024-11-20T11:25:00+00:00
2024-11-20T09:00:00+00:00,landed,SAS,SK837,A20N,None,Gardermoen,2024-11-20T09:00:00+00:00,Charles De Gaulle,2024-11-20T11:25:00+00:00
2024-11-20T07:30:00+00:00,landed,JetBlue Airways,B65642,None,None,Keflavik International,2024-11-20T07:30:00+00:00,Charles De Gaulle,2024-11-20T12:00:00+00:00
2024-11-20T07:30:00+00:00,active,Emirates,EK3318,None,None,Keflavik International,2024-11-20T07:30:00+00:00,Charles De Gaulle,2024-11-20T12:00:00+00:00
2024-11-20T07:30:00+00:00,landed,Icelandair,FI542,B38M,None,Keflavik International,2024-11-20T07:30:00+00:00,Charles De Gaulle,2024-11-20T12:00:00+00:00
2024-11-20T08:25:00+00:00,landed,Air Canada,AC2971,None,None,Pleso,2024-11-20T08:25:00+00:00,Charles De Gaulle,2024-11-20T10:30:00+00:00
2024-11-20T08:25:00+00:00,landed,Air France,AF5075,None,None,Pleso,2024-11-20T08:25:00+00:00,Charles De Gaulle,2024-11-20T10:30:00+00:00
2024-11-20T08:25:00+00:00,landed,Air India,AI7514,None,None,Pleso,2024-11-20T08:25:00+00:00,Charles De Gaulle,2024-11-20T10:30:00+00:00
2024-11-20T08:25:00+00:00,landed,Asiana Airlines,OZ9382,None,None,Pleso,2024-11-20T08:25:00+00:00,Charles De Gaulle,2024-11-20T10:30:00+00:00
2024-11-20T08:25:00+00:00,landed,Croatia Airlines,OU470,A319,None,Pleso,2024-11-20T08:25:00+00:00,Charles De Gaulle,2024-11-20T10:30:00+00:00
2024-11-20T10:30:00+00:00,landed,Sichuan Airlines,3U7213,None,None,Istanbul Airport,2024-11-20T10:30:00+00:00,Charles De Gaulle,2024-11-20T12:20:00+00:00
2024-11-20T10:30:00+00:00,landed,Air Seychelles,HM6404,None,None,Istanbul Airport,2024-11-20T10:30:00+00:00,Charles De Gaulle,2024-11-20T12:20:00+00:00
